reportText,site,reporterRole
"Workers observed without hard hats in active demolition zone near overhead crane operations",Metro Industrial Park,Site Supervisor
"Spill kit station near chemical storage is empty and has not been restocked in 2 weeks",Harbor View Medical Center,Safety Coordinator
"Forklift reversing blind corner near pedestrian walkway almost hit two workers today",Logistics Hub East,Warehouse Manager
"Scaffolding planks missing on level 3 of eastern face — exposed edge with 40-foot drop",Riverfront Tower,Scaffold Inspector
"Emergency exit door on loading dock floor is blocked by pallets of incoming freight",Logistics Hub East,Facilities Manager
"Temporary lighting outage in underground parking structure B — complete darkness",Metro Industrial Park,Field Worker
"Welding operations conducted without fire watch or hot work permit in paint booth area",Metro Industrial Park,Paint Shop Lead
"Damaged ladder with two cracked rungs still in service on upper floor renovation",Riverfront Tower,Site Supervisor
"Electrical panel cover removed and left open — live bus bars exposed in occupied hallway",Metro Industrial Park,Electrician
"Confined space entry in water tank without atmospheric testing or rescue plan on standby",Harbor View Medical Center,Safety Coordinator
"Overhead crane hook missing safety latch — operators continue to use it for lifts",Riverfront Tower,Crane Operator
"Traffic cones marking open trench removed by unknown party — trench now unmarked and unguarded",Westfield Construction Site,Field Worker
"New employee orientation safety video skipped — three hires started work without training",Westfield Construction Site,Office Administrator
"Walkway handrail along elevated corridor between buildings is loose and wobbles",Harbor View Medical Center,Maintenance Worker
"Chemical fume buildup in enclosed work area — ventilation system offline for maintenance",Metro Industrial Park,Lab Technician
"Excavation shoring showing signs of soil shifting — hydraulic brace appears compromised",Westfield Construction Site,Field Worker
"Workers near unguarded roof edge on 6th floor without any fall protection system",Riverfront Tower,Site Supervisor
"Hydraulic press guard removed for maintenance and not reinstalled — press in active use",Logistics Hub East,Equipment Operator
